id	polarity	polarity_orig	sentence	polex	polex+targets	polex_span	polex+targets_span	target_spans	split
FT_other_Vodafone_23-05-2005 23 00	positive	has_high_pos_target	The company may reveal details of mass-marketing campaigns for 3G offers and more aggressive promotion to help kick-start demand .	details of mass-marketing campaigns for	details of mass-marketing campaigns for 3G offers	(4, 8)	(4, 10)	[(9, 10)]	dev
FT_other_Vodafone_23-05-2005 23 01	negative	has_medium_neg_target	The company may reveal details of mass-marketing campaigns for 3G offers and more aggressive promotion to help kick-start demand .	more aggressive	more aggressive promotion	(12, 13)	(12, 14)	[(14, 14)]	dev
FT_other_Vodafone_23-05-2005 25 00	negative	has_medium_neg_target	In Japan , Vodafone is likely to point to continued subscriber volatility .	In Japan , Vodafone is likely to point to continued	In Japan , Vodafone is likely to point to continued subscriber volatility	(0, 9)	(0, 11)	[(10, 11)]	dev
FT_other_Vodafone_23-05-2005 27 00	negative	has_medium_neg_target	The group has warned it could take up to 15 months to revive the business , and SG Equity Research warned of little improvement in subscriber trends during April .	it could take up to 15 months to	it could take up to 15 months to revive the business	(4, 11)	(4, 14)	[(12, 14)]	dev
FT_other_Vodafone_23-05-2005 27 02	positive	has_high_pos_target	The group has warned it could take up to 15 months to revive the business , and SG Equity Research warned of little improvement in subscriber trends during April .	revive	revive the business	(12, 12)	(12, 14)	[(13, 14)]	dev
FT_other_Vodafone_23-05-2005 27 03	negative	has_medium_neg_target	The group has warned it could take up to 15 months to revive the business , and SG Equity Research warned of little improvement in subscriber trends during April .	little	little improvement	(22, 22)	(22, 23)	[(23, 23)]	dev
FT_other_Vodafone_23-05-2005 27 04	negative	has_medium_neg_target	The group has warned it could take up to 15 months to revive the business , and SG Equity Research warned of little improvement in subscriber trends during April .	little improvement in subscriber trends during April	little improvement in subscriber trends during April	(22, 28)	(22, 28)	[(25, 26)]	dev
FT_other_Vodafone_23-05-2005 29 00	positive	has_medium_pos_target	In spite of these problems , there , Vodafone 's pre-tax profits are expected to rise modestly from Pounds 10bn to Pounds 10.2bn with the total number of subscribers likely to rise about 10 per cent this year from the 151.8m total at the end of last year .	rise modestly	Vodafone 's pre-tax profits are expected to rise modestly	(15, 16)	(8, 16)	[(8, 11)]	dev
FT_other_Vodafone_23-05-2005 29 01	positive	has_medium_pos_target	In spite of these problems , there , Vodafone 's pre-tax profits are expected to rise modestly from Pounds 10bn to Pounds 10.2bn with the total number of subscribers likely to rise about 10 per cent this year from the 151.8m total at the end of last year .	likely to rise about 10 per cent this year from the 151.8m total at the end of last year	the total number of subscribers likely to rise about 10 per cent this year from the 151.8m total at the end of last year	(29, 47)	(24, 47)	[(24, 28)]	dev
FT_other_Vodafone_23-05-2005 31 00	positive	has_high_pos_target	Given the group 's estimated free cash flow of almost Pounds 7bn , Arun Sarin , chief executive , has promised increased dividends and buy backs as a tool to reward shareholders .	of almost Pounds 7bn	the group 's estimated free cash flow of almost Pounds 7bn	(8, 11)	(1, 11)	[(1, 7)]	dev
FT_other_Vodafone_23-05-2005 31 01	positive	has_medium_pos_target	Given the group 's estimated free cash flow of almost Pounds 7bn , Arun Sarin , chief executive , has promised increased dividends and buy backs as a tool to reward shareholders .	has promised increased dividends and buy backs as a tool to reward shareholders	has promised increased dividends and buy backs as a tool to reward shareholders	(19, 31)	(19, 31)	[(21, 25)]	dev
FT_other_Vodafone_23-05-2005 31 02	positive	has_medium_pos_target	Given the group 's estimated free cash flow of almost Pounds 7bn , Arun Sarin , chief executive , has promised increased dividends and buy backs as a tool to reward shareholders .	increased	increased dividends	(21, 21)	(21, 22)	[(22, 22)]	dev
FT_other_Vodafone_23-05-2005 31 03	positive	has_high_pos_target	Given the group 's estimated free cash flow of almost Pounds 7bn , Arun Sarin , chief executive , has promised increased dividends and buy backs as a tool to reward shareholders .	as a tool to reward	as a tool to reward shareholders	(26, 30)	(26, 31)	[(31, 31)]	dev
FT_other_Vodafone_23-05-2005 32 00	negative	has_medium_neg_target	Vodafone declined to comment .	declined to comment	Vodafone declined to comment	(1, 3)	(0, 3)	[(0, 0)]	dev
FT_other_Vodafone_23-05-2012 00 00	negative	has_medium_neg_target	European woes lead Vodafone to cut target	cut	cut target	(5, 5)	(5, 6)	[(6, 6)]	train
FT_other_Vodafone_23-05-2012 07 00	positive	has_high_pos_target	A strong performance by Vodafone in the US and emerging markets failed to offset weak demand in southern Europe , prompting the British mobile operator to cut its growth expectations for 2013 .	A strong performance by Vodafone in the US and emerging markets	A strong performance by Vodafone in the US and emerging markets	(0, 10)	(0, 10)	[(4, 4)]	train
FT_other_Vodafone_23-05-2012 07 01	positive	has_medium_pos_target	A strong performance by Vodafone in the US and emerging markets failed to offset weak demand in southern Europe , prompting the British mobile operator to cut its growth expectations for 2013 .	strong	strong performance	(1, 1)	(1, 2)	[(2, 2)]	train
FT_other_Vodafone_23-05-2012 07 02	negative	has_high_neg_target	A strong performance by Vodafone in the US and emerging markets failed to offset weak demand in southern Europe , prompting the British mobile operator to cut its growth expectations for 2013 .	failed to offset weak demand in southern Europe	A strong performance by Vodafone in the US and emerging markets failed to offset weak demand in southern Europe	(11, 18)	(0, 18)	[(0, 10)]	train
FT_other_Vodafone_23-05-2012 07 03	negative	has_medium_neg_target	A strong performance by Vodafone in the US and emerging markets failed to offset weak demand in southern Europe , prompting the British mobile operator to cut its growth expectations for 2013 .	weak	weak demand in southern Europe	(14, 14)	(14, 18)	[(15, 18)]	train
FT_other_Vodafone_23-05-2012 07 04	negative	has_medium_neg_target	A strong performance by Vodafone in the US and emerging markets failed to offset weak demand in southern Europe , prompting the British mobile operator to cut its growth expectations for 2013 .	cut	cut its growth expectations for 2013	(26, 26)	(26, 31)	[(27, 31)]	train
FT_other_Vodafone_23-05-2012 09 00	negative	has_medium_neg_target	Poor economic conditions in Italy , Spain , Portugal and Greece forced Vodafone to book a £ 4bn impairment charge in its full-year results , which it blamed on a drop in spending by consumers and tighter government regulation .	Poor economic conditions in Italy , Spain , Portugal and Greece	Poor economic conditions in Italy , Spain , Portugal and Greece	(0, 10)	(0, 10)	[(1, 2)]	train
FT_other_Vodafone_23-05-2012 09 01	negative	has_medium_neg_target	Poor economic conditions in Italy , Spain , Portugal and Greece forced Vodafone to book a £ 4bn impairment charge in its full-year results , which it blamed on a drop in spending by consumers and tighter government regulation .	forced Vodafone to book a £ 4bn impairment charge in its full-year results	forced Vodafone to book a £ 4bn impairment charge in its full-year results	(11, 23)	(11, 23)	[(12, 12)]	train
FT_other_Vodafone_23-05-2012 09 02	negative	has_high_neg_target	Poor economic conditions in Italy , Spain , Portugal and Greece forced Vodafone to book a £ 4bn impairment charge in its full-year results , which it blamed on a drop in spending by consumers and tighter government regulation .	£ 4bn impairment charge in its	£ 4bn impairment charge in its full-year results	(16, 21)	(16, 23)	[(21, 23)]	train
FT_other_Vodafone_23-05-2012 09 03	negative	has_medium_neg_target	Poor economic conditions in Italy , Spain , Portugal and Greece forced Vodafone to book a £ 4bn impairment charge in its full-year results , which it blamed on a drop in spending by consumers and tighter government regulation .	blamed on	which it blamed on	(27, 28)	(25, 28)	[(25, 25)]	train
FT_other_Vodafone_23-05-2012 09 04	negative	has_medium_neg_target	Poor economic conditions in Italy , Spain , Portugal and Greece forced Vodafone to book a £ 4bn impairment charge in its full-year results , which it blamed on a drop in spending by consumers and tighter government regulation .	a drop in	a drop in spending by consumers	(29, 31)	(29, 34)	[(32, 34)]	train
FT_other_Vodafone_23-05-2012 09 05	negative	has_medium_neg_target	Poor economic conditions in Italy , Spain , Portugal and Greece forced Vodafone to book a £ 4bn impairment charge in its full-year results , which it blamed on a drop in spending by consumers and tighter government regulation .	tighter	tighter government regulation	(36, 36)	(36, 38)	[(37, 38)]	train
FT_other_Vodafone_23-05-2012 11 00	negative	has_medium_neg_target	The FTSE 100 company yesterday cut its medium-term revenue growth target for the current financial year by 1 percentage point to between 0 per cent and 3 per cent .	cut	cut its medium-term revenue growth target for the current financial year	(5, 5)	(5, 15)	[(6, 15)]	train
FT_other_Vodafone_23-05-2012 11 01	positive	has_medium_pos_target	The FTSE 100 company yesterday cut its medium-term revenue growth target for the current financial year by 1 percentage point to between 0 per cent and 3 per cent .	medium-term revenue growth	medium-term revenue growth	(7, 9)	(7, 9)	[(8, 8)]	train
FT_other_Vodafone_23-05-2012 12 00	positive	has_high_pos_target	In the 12 months to March 31 , Vodafone reported flat pre-tax profit of £ 9.5bn on a 1.2 per cent rise in revenues to £ 46.4bn .	In the 12 months to March 31 , Vodafone reported flat pre-tax profit of £ 9.5bn	In the 12 months to March 31 , Vodafone reported flat pre-tax profit of £ 9.5bn	(0, 15)	(0, 15)	[(8, 8)]	train
FT_other_Vodafone_23-05-2012 12 01	positive	has_medium_pos_target	In the 12 months to March 31 , Vodafone reported flat pre-tax profit of £ 9.5bn on a 1.2 per cent rise in revenues to £ 46.4bn .	a 1.2 per cent rise in	a 1.2 per cent rise in revenues	(17, 22)	(17, 23)	[(23, 23)]	train
FT_other_Vodafone_23-05-2012 14 00	positive	has_medium_pos_target	However , investors pushed up Vodafone shares 4.3 per cent to 172p thanks to a proposed 52 per cent jump in the group 's full-year dividend to 13.52p , and a strong performance in the US .	pushed up Vodafone shares 4.3 per cent to 172p	pushed up Vodafone shares 4.3 per cent to 172p	(3, 11)	(3, 11)	[(5, 6)]	train
FT_other_Vodafone_23-05-2012 14 01	positive	has_high_pos_target	However , investors pushed up Vodafone shares 4.3 per cent to 172p thanks to a proposed 52 per cent jump in the group 's full-year dividend to 13.52p , and a strong performance in the US .	52 per cent jump in the group 's full-year dividend to 13.52p	52 per cent jump in the group 's full-year dividend to 13.52p	(16, 27)	(16, 27)	[(21, 25)]	train
FT_other_Vodafone_23-05-2012 14 02	positive	has_medium_pos_target	However , investors pushed up Vodafone shares 4.3 per cent to 172p thanks to a proposed 52 per cent jump in the group 's full-year dividend to 13.52p , and a strong performance in the US .	strong	strong performance in the US	(31, 31)	(31, 35)	[(32, 35)]	train
FT_other_Vodafone_23-05-2012 15 00	positive	has_medium_pos_target	Verizon Wireless , the US mobile operator 45 per cent owned by Vodafone , reported service revenues up 7.3 per cent year on year and contributed £ 4.9bn to the group 's bottom line .	the US mobile operator 45 per cent owned by	the US mobile operator 45 per cent owned by Vodafone	(3, 11)	(3, 12)	[(12, 12)]	train
FT_other_Vodafone_23-05-2012 15 01	positive	has_medium_pos_target	Verizon Wireless , the US mobile operator 45 per cent owned by Vodafone , reported service revenues up 7.3 per cent year on year and contributed £ 4.9bn to the group 's bottom line .	up 7.3 per cent year on year	service revenues up 7.3 per cent year on year	(17, 23)	(15, 23)	[(15, 16)]	train
FT_other_Vodafone_23-05-2012 15 02	positive	has_medium_pos_target	Verizon Wireless , the US mobile operator 45 per cent owned by Vodafone , reported service revenues up 7.3 per cent year on year and contributed £ 4.9bn to the group 's bottom line .	contributed £ 4.9bn to	contributed £ 4.9bn to the group 's bottom line	(25, 28)	(25, 33)	[(29, 33)]	train
FT_other_Vodafone_23-05-2012 17 00	positive	has_medium_pos_target	Service revenues rose almost 11 per cent year on year at Vodafone 's India division , while the group 's UK arm registered positive growth of 1.3 per cent .	rose almost 11 per cent year on year at Vodafone 's India division	Service revenues rose almost 11 per cent year on year at Vodafone 's India division	(2, 14)	(0, 14)	[(0, 1)]	train
FT_other_Vodafone_23-05-2012 17 01	positive	has_medium_pos_target	Service revenues rose almost 11 per cent year on year at Vodafone 's India division , while the group 's UK arm registered positive growth of 1.3 per cent .	registered positive growth of 1.3 per cent .	the group 's UK arm registered positive growth of 1.3 per cent .	(22, 29)	(17, 29)	[(17, 21)]	train
FT_other_Vodafone_23-05-2012 17 02	positive	has_medium_pos_target	Service revenues rose almost 11 per cent year on year at Vodafone 's India division , while the group 's UK arm registered positive growth of 1.3 per cent .	positive	positive growth	(23, 23)	(23, 24)	[(24, 24)]	train
FT_other_Vodafone_23-05-2012 19 01	positive	has_medium_pos_target	""" We are delivering robust numbers given the circumstances , "" said Vittorio Colao , Vodafone 's chief executive ."	robust	robust numbers	(4, 4)	(4, 5)	[(5, 5)]	train
FT_other_Vodafone_23-05-2012 22 00	negative	has_high_neg_target+has_low_neg_target	The £ 4bn writedown - about half of which came from Vodafone 's Italian business - was lower than the £ 6.8bn impairment a year ago .	was lower than	The £ 4bn writedown - about half of which came from Vodafone 's Italian business - was lower than the £ 6.8bn impairment a year ago	(16, 18)	(0, 25)	[(0, 15), (19, 25)]	train
FT_other_Vodafone_23-05-2012 23 00	negative	has_medium_neg_target	Service revenues in Europe fell 1.1 per cent compared with the previous year , weighed down by cuts to wholesale charges paid to rival providers for connecting calls , known as mobile termination rates .	fell 1.1 per cent compared with the previous year	Service revenues in Europe fell 1.1 per cent compared with the previous year	(4, 12)	(0, 12)	[(0, 3)]	train
FT_other_Vodafone_23-05-2012 23 01	negative	has_medium_neg_target	Service revenues in Europe fell 1.1 per cent compared with the previous year , weighed down by cuts to wholesale charges paid to rival providers for connecting calls , known as mobile termination rates .	weighed down by	Service revenues in Europe fell 1.1 per cent compared with the previous year , weighed down by	(14, 16)	(0, 16)	[(0, 3)]	train
FT_other_Vodafone_23-05-2012 25 00	negative	has_high_neg_target	Mr Colao took a swipe at the Indian government 's fresh efforts to prise $ 2.6bn in capital gains tax from Vodafone over its 2007 acquisition of a controlling stake in Hutchison Essar .	took a swipe at the	took a swipe at the Indian government 's fresh efforts to prise $ 2.6bn in capital gains tax from Vodafone over its 2007 acquisition of a controlling stake in Hutchison Essar .	(2, 6)	(2, 33)	[(6, 33)]	train
FT_other_Vodafone_23-05-2012 25 01	negative	has_medium_neg_target	Mr Colao took a swipe at the Indian government 's fresh efforts to prise $ 2.6bn in capital gains tax from Vodafone over its 2007 acquisition of a controlling stake in Hutchison Essar .	took a swipe at the Indian government 's fresh efforts to prise $ 2.6bn in capital gains tax from Vodafone over its 2007 acquisition of a controlling stake in Hutchison Essar .	Mr Colao took a swipe at the Indian government 's fresh efforts to prise $ 2.6bn in capital gains tax from Vodafone over its 2007 acquisition of a controlling stake in Hutchison Essar .	(2, 33)	(0, 33)	[(0, 1)]	train
FT_other_Vodafone_23-05-2012 25 02	positive	has_medium_pos_target	Mr Colao took a swipe at the Indian government 's fresh efforts to prise $ 2.6bn in capital gains tax from Vodafone over its 2007 acquisition of a controlling stake in Hutchison Essar .	fresh efforts to prise	fresh efforts to prise $ 2.6bn in capital gains tax from Vodafone over its 2007 acquisition of a controlling stake in Hutchison Essar .	(10, 13)	(10, 33)	[(13, 33)]	train
FT_other_Vodafone_23-05-2012 25 03	negative	has_medium_neg_target	Mr Colao took a swipe at the Indian government 's fresh efforts to prise $ 2.6bn in capital gains tax from Vodafone over its 2007 acquisition of a controlling stake in Hutchison Essar .	prise $ 2.6bn in capital gains tax from Vodafone	prise $ 2.6bn in capital gains tax from Vodafone over	(13, 21)	(13, 22)	[(21, 22)]	train
FT_other_Vodafone_23-05-2012 25 04	positive	has_medium_pos_target	Mr Colao took a swipe at the Indian government 's fresh efforts to prise $ 2.6bn in capital gains tax from Vodafone over its 2007 acquisition of a controlling stake in Hutchison Essar .	prise $ 2.6bn in capital gains tax from Vodafone	the Indian government 's fresh efforts to prise $ 2.6bn in capital gains tax from Vodafone over	(13, 21)	(6, 22)	[(6, 9)]	train
FT_other_Vodafone_23-05-2012 25 05	positive	has_high_pos_target	Mr Colao took a swipe at the Indian government 's fresh efforts to prise $ 2.6bn in capital gains tax from Vodafone over its 2007 acquisition of a controlling stake in Hutchison Essar .	2007 acquisition of a controlling stake in Hutchison Essar .	its 2007 acquisition of a controlling stake in Hutchison Essar .	(24, 33)	(23, 33)	[(23, 24)]	train
FT_other_Vodafone_23-05-2012 25 06	positive	has_medium_pos_target	Mr Colao took a swipe at the Indian government 's fresh efforts to prise $ 2.6bn in capital gains tax from Vodafone over its 2007 acquisition of a controlling stake in Hutchison Essar .	controlling stake	controlling stake in	(28, 29)	(28, 30)	[(29, 30)]	train
FT_other_Vodafone_23-05-2012 26 00	negative	has_high_neg_target	Mr Colao said the problem lay with the regulators and some of the bureaucrats , rather than the market .	the problem lay with	the problem lay with the regulators and some of the bureaucrats	(3, 6)	(3, 13)	[(7, 13)]	train
FT_other_Vodafone_23-05-2012 26 01	positive	has_low_pos_target	Mr Colao said the problem lay with the regulators and some of the bureaucrats , rather than the market .	the problem lay with the regulators and some of the bureaucrats , rather than	the problem lay with the regulators and some of the bureaucrats , rather than the market	(3, 16)	(3, 18)	[(17, 18)]	train
FT_other_Vodafone_23-05-2012 27 00	positive	has_medium_pos_target	""" It 's time for the political leadership in India to look the bureaucrats in the eyes and ask whether this is what they want for their country , "" he said ."	It 's time for	It 's time for the political leadership in India to look the bureaucrats in the eyes and ask whether this is what they want for their country	(1, 4)	(1, 27)	[(5, 27)]	train
FT_other_Vodafone_23-05-2012 27 01	negative	has_high_neg_target	""" It 's time for the political leadership in India to look the bureaucrats in the eyes and ask whether this is what they want for their country , "" he said ."	to look the bureaucrats in the eyes	to look the bureaucrats in the eyes	(10, 16)	(10, 16)	[(12, 13)]	train
FT_other_Vodafone_23-05-2012 27 02	positive	has_high_pos_target	""" It 's time for the political leadership in India to look the bureaucrats in the eyes and ask whether this is what they want for their country , "" he said ."	whether this is what they want for their country	whether this is what they want for their country	(19, 27)	(19, 27)	[(22, 22)]	train
FT_other_Vodafone_23-05-2012 29 00	positive	has_high_pos_target	The group 's Indian subsidiary has invested about Rs500bn ( $ 9bn ) in the country since it paid $ 10.9bn for the stake .	has invested about Rs500bn ( $ 9bn ) in the country since it paid $ 10.9bn for the stake	has invested about Rs500bn ( $ 9bn ) in the country since it paid $ 10.9bn for the stake	(5, 23)	(5, 23)	[(14, 15)]	train
FT_other_Vodafone_23-05-2012 30 00	negative	has_medium_neg_target	However , Vodafone has since endured a difficult five years , with fierce price wars , policy uncertainty and regulatory wrangling reducing the value of the group 's Indian operations by as much as a third , analysts said .	has since endured a difficult five years	Vodafone has since endured a difficult five years	(3, 9)	(2, 9)	[(2, 2)]	train
FT_other_Vodafone_23-05-2012 30 01	negative	has_medium_neg_target	However , Vodafone has since endured a difficult five years , with fierce price wars , policy uncertainty and regulatory wrangling reducing the value of the group 's Indian operations by as much as a third , analysts said .	fierce	fierce price wars	(12, 12)	(12, 14)	[(13, 14)]	train
FT_other_Vodafone_23-05-2012 30 02	negative	has_medium_neg_target	However , Vodafone has since endured a difficult five years , with fierce price wars , policy uncertainty and regulatory wrangling reducing the value of the group 's Indian operations by as much as a third , analysts said .	uncertainty	policy uncertainty	(17, 17)	(16, 17)	[(16, 16)]	train
FT_other_Vodafone_23-05-2012 30 03	negative	has_medium_neg_target	However , Vodafone has since endured a difficult five years , with fierce price wars , policy uncertainty and regulatory wrangling reducing the value of the group 's Indian operations by as much as a third , analysts said .	wrangling	regulatory wrangling	(20, 20)	(19, 20)	[(19, 19)]	train
FT_other_Vodafone_23-05-2012 30 04	negative	has_high_neg_target	However , Vodafone has since endured a difficult five years , with fierce price wars , policy uncertainty and regulatory wrangling reducing the value of the group 's Indian operations by as much as a third , analysts said .	reducing the value of the group 's Indian operations by as much as a third	reducing the value of the group 's Indian operations by as much as a third	(21, 35)	(21, 35)	[(22, 29)]	train
FT_other_Vodafone_23-05-2012 32 00	negative	has_low_neg_target	The return of the tax dispute has forced Vodafone to put on hold plans for an initial public offering of part of its Indian business , which Marten Pieters , chief executive of Vodafone India , yesterday confirmed was now unlikely to happen in the next 12 months .	has forced Vodafone to put on hold	has forced Vodafone to put on hold plans for an initial public offering of part of its Indian business	(6, 12)	(6, 24)	[(13, 24)]	train
FT_other_Vodafone_23-05-2012 32 01	positive	has_high_pos_target	The return of the tax dispute has forced Vodafone to put on hold plans for an initial public offering of part of its Indian business , which Marten Pieters , chief executive of Vodafone India , yesterday confirmed was now unlikely to happen in the next 12 months .	plans for	plans for an initial public offering of part of its Indian business	(13, 14)	(13, 24)	[(15, 24)]	train
FT_other_Vodafone_23-05-2012 32 02	negative	has_medium_neg_target	The return of the tax dispute has forced Vodafone to put on hold plans for an initial public offering of part of its Indian business , which Marten Pieters , chief executive of Vodafone India , yesterday confirmed was now unlikely to happen in the next 12 months .	was now unlikely to happen in the next 12 months	which Marten Pieters , chief executive of Vodafone India , yesterday confirmed was now unlikely to happen in the next 12 months	(38, 47)	(26, 47)	[(26, 26)]	train
FT_other_macro_01-02-2012 00 00	negative	has_medium_neg_target	Euro slips as debt hopes fade	slips	Euro slips	(1, 1)	(0, 1)	[(0, 0)]	train
FT_other_macro_01-02-2012 00 01	negative	has_low_neg_target	Euro slips as debt hopes fade	fade	debt hopes fade	(5, 5)	(3, 5)	[(3, 4)]	train
FT_other_macro_01-02-2012 02 00	negative	has_low_neg_target	The euro gave up earlier gains against the dollar yesterday as investors ' hopes that a Greek debt deal would be reached by the end of the week faded and data from the US showed an unexpected decline in consumer confidence .	gave up earlier gains against the dollar yesterday	The euro gave up earlier gains against the dollar yesterday	(2, 9)	(0, 9)	[(0, 1)]	train
FT_other_macro_01-02-2012 02 01	positive	has_low_pos_target	The euro gave up earlier gains against the dollar yesterday as investors ' hopes that a Greek debt deal would be reached by the end of the week faded and data from the US showed an unexpected decline in consumer confidence .	gave up earlier gains against the dollar yesterday	The euro gave up earlier gains against the dollar yesterday	(2, 9)	(0, 9)	[(7, 8)]	train
FT_other_macro_01-02-2012 02 02	positive	has_medium_pos_target	The euro gave up earlier gains against the dollar yesterday as investors ' hopes that a Greek debt deal would be reached by the end of the week faded and data from the US showed an unexpected decline in consumer confidence .	earlier gains against the dollar	The euro gave up earlier gains against the dollar	(4, 8)	(0, 8)	[(0, 1)]	train
FT_other_macro_01-02-2012 02 03	positive	has_medium_pos_target	The euro gave up earlier gains against the dollar yesterday as investors ' hopes that a Greek debt deal would be reached by the end of the week faded and data from the US showed an unexpected decline in consumer confidence .	' hopes that	' hopes that a Greek debt deal would be reached by the end of the week	(12, 14)	(12, 27)	[(15, 27)]	train
FT_other_macro_01-02-2012 02 04	positive	has_medium_pos_target	The euro gave up earlier gains against the dollar yesterday as investors ' hopes that a Greek debt deal would be reached by the end of the week faded and data from the US showed an unexpected decline in consumer confidence .	would be reached by the end of the week	a Greek debt deal would be reached by the end of the week	(19, 27)	(15, 27)	[(15, 18)]	train
FT_other_macro_01-02-2012 02 05	negative	has_high_neg_target	The euro gave up earlier gains against the dollar yesterday as investors ' hopes that a Greek debt deal would be reached by the end of the week faded and data from the US showed an unexpected decline in consumer confidence .	faded	investors ' hopes that a Greek debt deal would be reached by the end of the week faded	(28, 28)	(11, 28)	[(11, 27)]	train
FT_other_macro_01-02-2012 02 06	negative	has_medium_neg_target	The euro gave up earlier gains against the dollar yesterday as investors ' hopes that a Greek debt deal would be reached by the end of the week faded and data from the US showed an unexpected decline in consumer confidence .	an unexpected decline in	an unexpected decline in consumer confidence	(35, 38)	(35, 40)	[(39, 40)]	train
FT_other_macro_01-02-2012 04 00	positive	has_low_pos_target	The single currency initially moved above $ 1.32 after Lucas Papademos , the Greek prime minister , said following Monday 's European Union summit that he was seeking to reach a deal with Greece 's creditors before Friday .	initially moved above $ 1.32 after	The single currency initially moved above $ 1.32 after	(3, 8)	(0, 8)	[(0, 2)]	train
FT_other_macro_01-02-2012 04 01	positive	has_high_pos_target	The single currency initially moved above $ 1.32 after Lucas Papademos , the Greek prime minister , said following Monday 's European Union summit that he was seeking to reach a deal with Greece 's creditors before Friday .	was seeking to reach a deal with Greece 's creditors before Friday	was seeking to reach a deal with Greece 's creditors before Friday	(26, 37)	(26, 37)	[(30, 35)]	train
FT_other_macro_01-02-2012 04 02	positive	has_low_pos_target	The single currency initially moved above $ 1.32 after Lucas Papademos , the Greek prime minister , said following Monday 's European Union summit that he was seeking to reach a deal with Greece 's creditors before Friday .	following Monday 's European Union summit that he was seeking to reach a deal with Greece 's creditors before Friday	following Monday 's European Union summit that he was seeking to reach a deal with Greece 's creditors before Friday	(18, 37)	(18, 37)	[(25, 25)]	train
FT_other_macro_01-02-2012 06 00	negative	has_low_neg_target	A Financial Times report that European banks were set to borrow more from the European Central Bank at the next longer-term refinancing operation in February also gave risky assets a boost in early trading , as investors hoped the greater liquidity would be used by banks to buy government bonds and ease Europe 's government debt woes .	were set to borrow more from the European Central Bank at the next longer-term refinancing operation in February	European banks were set to borrow more from the European Central Bank at the next longer-term refinancing operation in February	(7, 24)	(5, 24)	[(5, 6)]	train
FT_other_macro_01-02-2012 06 01	positive	has_medium_pos_target	A Financial Times report that European banks were set to borrow more from the European Central Bank at the next longer-term refinancing operation in February also gave risky assets a boost in early trading , as investors hoped the greater liquidity would be used by banks to buy government bonds and ease Europe 's government debt woes .	also gave risky assets a boost in early trading	also gave risky assets a boost in early trading	(25, 33)	(25, 33)	[(27, 28)]	train
FT_other_macro_01-02-2012 06 02	neutral	has_high_other_target	A Financial Times report that European banks were set to borrow more from the European Central Bank at the next longer-term refinancing operation in February also gave risky assets a boost in early trading , as investors hoped the greater liquidity would be used by banks to buy government bonds and ease Europe 's government debt woes .	risky	risky assets	(27, 27)	(27, 28)	[(28, 28)]	train
FT_other_macro_01-02-2012 06 03	positive	has_medium_pos_target	A Financial Times report that European banks were set to borrow more from the European Central Bank at the next longer-term refinancing operation in February also gave risky assets a boost in early trading , as investors hoped the greater liquidity would be used by banks to buy government bonds and ease Europe 's government debt woes .	greater	greater liquidity	(39, 39)	(39, 40)	[(40, 40)]	train
FT_other_macro_01-02-2012 06 04	positive	has_medium_pos_target	A Financial Times report that European banks were set to borrow more from the European Central Bank at the next longer-term refinancing operation in February also gave risky assets a boost in early trading , as investors hoped the greater liquidity would be used by banks to buy government bonds and ease Europe 's government debt woes .	would be used by banks to buy government bonds and ease	would be used by banks to buy government bonds and ease Europe 's government debt woes	(41, 51)	(41, 56)	[(52, 56)]	train
FT_other_macro_01-02-2012 06 05	negative	has_medium_neg_target	A Financial Times report that European banks were set to borrow more from the European Central Bank at the next longer-term refinancing operation in February also gave risky assets a boost in early trading , as investors hoped the greater liquidity would be used by banks to buy government bonds and ease Europe 's government debt woes .	woes	Europe 's government debt woes	(56, 56)	(52, 56)	[(52, 55)]	train
FT_other_macro_01-02-2012 08 00	negative	has_medium_neg_target	But market sentiment reversed later in the day , with a dip in US consumer confidence in January and a report showing a further fall in US house prices in November pushing the euro 0.4 per cent lower against the dollar by the end of New York trading to $ 1.3079 .	reversed later in the day	market sentiment reversed later in the day	(3, 7)	(1, 7)	[(1, 2)]	train
FT_other_macro_01-02-2012 08 01	negative	has_medium_neg_target	But market sentiment reversed later in the day , with a dip in US consumer confidence in January and a report showing a further fall in US house prices in November pushing the euro 0.4 per cent lower against the dollar by the end of New York trading to $ 1.3079 .	a dip in US consumer confidence in January	a dip in US consumer confidence in January	(10, 17)	(10, 17)	[(13, 15)]	train
FT_other_macro_01-02-2012 08 02	negative	has_medium_neg_target	But market sentiment reversed later in the day , with a dip in US consumer confidence in January and a report showing a further fall in US house prices in November pushing the euro 0.4 per cent lower against the dollar by the end of New York trading to $ 1.3079 .	a further fall in US house prices in November	a further fall in US house prices in November	(22, 30)	(22, 30)	[(26, 28)]	train
FT_other_macro_01-02-2012 08 03	negative	has_medium_neg_target	But market sentiment reversed later in the day , with a dip in US consumer confidence in January and a report showing a further fall in US house prices in November pushing the euro 0.4 per cent lower against the dollar by the end of New York trading to $ 1.3079 .	pushing the euro 0.4 per cent lower against the dollar by the end of New York trading to $ 1.3079	pushing the euro 0.4 per cent lower against the dollar by the end of New York trading to $ 1.3079	(31, 50)	(31, 50)	[(32, 33)]	train
FT_other_macro_01-02-2012 10 00	neutral	has_medium_other_target	Analysts said that currency transfers on the last day of the month were also behind the market swings .	were also behind	were also behind the market swings	(12, 14)	(12, 17)	[(15, 17)]	train
